Membership No  Date Joined  Active  
    86686      2016-4-23    no    
    43492      2017-10-17   no    
    60914      2019-9-5     no    
    50450      2019-5-8     no    
    74819      2016-11-4    no    
    51311      2020-11-22   no    
    61407      2016-12-11   no    
    56962      2017-4-4     no    
    10920      2018-2-23    no    
    12909      2016-12-12   no    
    89636      2017-8-9     no    
    90824      2017-4-7     no    
    14061      2015-3-20    no    
    98516      2020-6-6     no    
    33428      2016-6-14    no    
