Membership No  Date Joined  Active  
    67317      2018-10-7    no    
    60221      2017-2-10    no    
    75820      2019-5-9     no    
    30911      2017-8-9     no    
    77317      2015-11-13   no    
    74545      2016-11-11   no    
    11468      2020-2-16    no    
    41320      2017-5-3     no    
    10742      2019-2-23    no    
    34665      2020-3-22    no    
    14050      2019-5-15    no    
    35222      2016-7-20    no    
    47387      2020-4-8     no    
    72171      2016-12-19   no    
